Player,Time,Points
Niew Leekpai,12:51,ERROR
Jenny Norgaard,12:52,ERROR
Rodrigo Romani,12:53,ERROR
Nicholas Rose,12:54,ERROR
Jimmie Turman,12:55,ERROR
Dan Drayton,12:56,ERROR
Jenny Norgaard,12:57,ERROR
Rajab Shammas,12:58,ERROR
Jimmie Turman,12:59,ERROR
Dan Drayton,13:00,ERROR
Rosie Reeves,13:01,ERROR
Jimmie Turman,13:02,ERROR
Vicky Erickson,13:03,ERROR
Rajab Shammas,13:04,ERROR
Francesca Lombardi,13:05,ERROR
Niew Leekpai,13:06,ERROR
Jenny Norgaard,13:07,ERROR
Rodrigo Romani,13:08,ERROR
Nicholas Rose,13:09,ERROR
Jimmie Turman,13:10,ERROR
Dan Drayton,13:11,ERROR
Jenny Norgaard,13:12,ERROR
Rajab Shammas,13:13,ERROR
Jimmie Turman,13:14,ERROR
Dan Drayton,13:15,ERROR
Rosie Reeves,13:16,ERROR
Jimmie Turman,13:17,ERROR
Vicky Erickson,13:18,ERROR
Rajab Shammas,13:19,ERROR
Francesca Lombardi,13:20,ERROR
Niew Leekpai,13:21,ERROR
Jenny Norgaard,13:22,ERROR
Rodrigo Romani,13:23,ERROR
Nicholas Rose,13:24,ERROR
Jimmie Turman,13:25,ERROR
Dan Drayton,13:26,ERROR
Jenny Norgaard,13:27,ERROR
Rajab Shammas,13:28,ERROR
Jimmie Turman,13:29,ERROR
Dan Drayton,13:30,ERROR
Rosie Reeves,13:31,ERROR
Jimmie Turman,13:32,ERROR
Vicky Erickson,13:33,ERROR
Rajab Shammas,13:34,ERROR
Francesca Lombardi,13:35,ERROR
Niew Leekpai,13:36,ERROR
Jenny Norgaard,13:37,ERROR
Rodrigo Romani,13:38,ERROR
Nicholas Rose,13:39,ERROR
Jimmie Turman,13:40,ERROR
Dan Drayton,13:41,ERROR
Jenny Norgaard,13:42,ERROR
Rajab Shammas,13:43,ERROR
Jimmie Turman,13:44,ERROR
Dan Drayton,13:45,ERROR
Rosie Reeves,13:46,ERROR
Jimmie Turman,13:47,ERROR
Vicky Erickson,13:48,ERROR
Rajab Shammas,13:49,ERROR
Francesca Lombardi,13:50,ERROR
Niew Leekpai,13:51,ERROR
Jenny Norgaard,13:52,ERROR
Rodrigo Romani,13:53,ERROR
Nicholas Rose,13:54,ERROR
Jimmie Turman,13:55,ERROR
Dan Drayton,13:56,ERROR
Jenny Norgaard,13:57,ERROR
Rajab Shammas,13:58,ERROR
Jimmie Turman,13:59,ERROR
Dan Drayton,14:00,ERROR
Rosie Reeves,14:01,ERROR
Jimmie Turman,14:02,ERROR
Vicky Erickson,14:03,ERROR
Rajab Shammas,14:04,ERROR
Francesca Lombardi,14:05,ERROR
Niew Leekpai,14:06,ERROR
Jenny Norgaard,14:07,ERROR
Rodrigo Romani,14:08,ERROR
Nicholas Rose,14:09,ERROR
Jimmie Turman,14:10,ERROR
Dan Drayton,14:11,ERROR
Jenny Norgaard,14:12,ERROR
Rajab Shammas,14:13,ERROR
Jimmie Turman,14:14,ERROR
Dan Drayton,14:15,ERROR
Rosie Reeves,14:16,ERROR
Jimmie Turman,14:17,ERROR
Vicky Erickson,14:18,ERROR
Rajab Shammas,14:19,ERROR
Francesca Lombardi,14:20,ERROR
Niew Leekpai,14:21,ERROR
Jenny Norgaard,14:22,ERROR
Rodrigo Romani,14:23,ERROR
Nicholas Rose,14:24,ERROR
Jimmie Turman,14:25,ERROR
Dan Drayton,14:26,ERROR
Jenny Norgaard,14:27,ERROR
Rajab Shammas,14:28,ERROR
Jimmie Turman,14:29,ERROR
Dan Drayton,14:30,ERROR
Rosie Reeves,14:31,ERROR
Jimmie Turman,14:32,ERROR
Vicky Erickson,14:33,ERROR
Rajab Shammas,14:34,ERROR
Francesca Lombardi,14:35,ERROR
Niew Leekpai,14:36,ERROR
Jenny Norgaard,14:37,ERROR
Rodrigo Romani,14:38,ERROR
Nicholas Rose,14:39,ERROR
Jimmie Turman,14:40,ERROR
Dan Drayton,14:41,ERROR
Jenny Norgaard,14:42,ERROR
Rajab Shammas,14:43,ERROR
Jimmie Turman,14:44,ERROR
Dan Drayton,14:45,ERROR
Rosie Reeves,14:46,ERROR
Jimmie Turman,14:47,ERROR
Vicky Erickson,14:48,ERROR
Rajab Shammas,14:49,ERROR
Francesca Lombardi,14:50,ERROR
Niew Leekpai,14:51,ERROR
Jenny Norgaard,14:52,ERROR
Rodrigo Romani,14:53,ERROR
Nicholas Rose,14:54,ERROR
Jimmie Turman,14:55,ERROR
Dan Drayton,14:56,ERROR
Jenny Norgaard,14:57,ERROR
Rajab Shammas,14:58,ERROR
Jimmie Turman,14:59,ERROR
Dan Drayton,15:00,ERROR
Rosie Reeves,15:01,ERROR
Jimmie Turman,15:02,ERROR
Vicky Erickson,15:03,ERROR
Rajab Shammas,15:04,ERROR
Francesca Lombardi,15:05,ERROR
Niew Leekpai,15:06,ERROR
Jenny Norgaard,15:07,ERROR
Rodrigo Romani,15:08,ERROR
Nicholas Rose,15:09,ERROR
Jimmie Turman,15:10,ERROR
Dan Drayton,15:11,ERROR
Jenny Norgaard,15:12,ERROR
Rajab Shammas,15:13,ERROR
Jimmie Turman,15:14,ERROR
Dan Drayton,15:15,ERROR
Rosie Reeves,15:16,ERROR
Jimmie Turman,15:17,ERROR
Vicky Erickson,15:18,ERROR
Rajab Shammas,15:19,ERROR
Francesca Lombardi,15:20,ERROR
Niew Leekpai,15:21,ERROR
Jenny Norgaard,15:22,ERROR
Rodrigo Romani,15:23,ERROR
Nicholas Rose,15:24,ERROR
Jimmie Turman,15:25,ERROR
Dan Drayton,15:26,ERROR
Jenny Norgaard,15:27,ERROR
Rajab Shammas,15:28,ERROR
Jimmie Turman,15:29,ERROR
Dan Drayton,15:30,ERROR
Rosie Reeves,15:31,ERROR
Jimmie Turman,15:32,ERROR
Vicky Erickson,15:33,ERROR
Rajab Shammas,15:34,ERROR
Francesca Lombardi,15:35,ERROR
Niew Leekpai,15:36,ERROR
Jenny Norgaard,15:37,ERROR
Rodrigo Romani,15:38,ERROR
Nicholas Rose,15:39,ERROR
Jimmie Turman,15:40,ERROR
Dan Drayton,15:41,ERROR
Jenny Norgaard,15:42,ERROR
Rajab Shammas,15:43,ERROR
Jimmie Turman,15:44,ERROR
Dan Drayton,15:45,ERROR
Rosie Reeves,15:46,ERROR
Jimmie Turman,15:47,ERROR
Vicky Erickson,15:48,ERROR
Rajab Shammas,15:49,ERROR
Francesca Lombardi,15:50,ERROR
Niew Leekpai,15:51,ERROR
Jenny Norgaard,15:52,ERROR
Rodrigo Romani,15:53,ERROR
Nicholas Rose,15:54,ERROR
Jimmie Turman,15:55,ERROR
Dan Drayton,15:56,ERROR
Jenny Norgaard,15:57,ERROR
Rajab Shammas,15:58,ERROR
Jimmie Turman,15:59,ERROR
Dan Drayton,16:00,ERROR
Rosie Reeves,16:01,ERROR
Jimmie Turman,16:02,ERROR
Vicky Erickson,16:03,ERROR
Rajab Shammas,16:04,ERROR
Francesca Lombardi,16:05,ERROR
Niew Leekpai,16:06,ERROR
Jenny Norgaard,16:07,ERROR
Rodrigo Romani,16:08,ERROR
Nicholas Rose,16:09,ERROR
Jimmie Turman,16:10,ERROR
Dan Drayton,16:11,ERROR
Jenny Norgaard,16:12,ERROR
Rajab Shammas,16:13,ERROR
Jimmie Turman,16:14,ERROR
Dan Drayton,16:15,ERROR
Rosie Reeves,16:16,ERROR
Jimmie Turman,16:17,ERROR
Vicky Erickson,16:18,ERROR
Rajab Shammas,16:19,ERROR
Francesca Lombardi,16:20,ERROR
Niew Leekpai,16:21,ERROR
Jenny Norgaard,16:22,ERROR
Rodrigo Romani,16:23,ERROR
Nicholas Rose,16:24,ERROR
Jimmie Turman,16:25,ERROR
Dan Drayton,16:26,ERROR
Jenny Norgaard,16:27,ERROR
Rajab Shammas,16:28,ERROR
Jimmie Turman,16:29,ERROR
Dan Drayton,16:30,ERROR
Rosie Reeves,16:31,ERROR
Jimmie Turman,16:32,ERROR
Vicky Erickson,16:33,ERROR
Rajab Shammas,16:34,ERROR
Francesca Lombardi,16:35,ERROR
Niew Leekpai,16:36,ERROR
Jenny Norgaard,16:37,ERROR
Rodrigo Romani,16:38,ERROR
Nicholas Rose,16:39,ERROR
Jimmie Turman,16:40,ERROR
Dan Drayton,16:41,ERROR
Jenny Norgaard,16:42,ERROR
Rajab Shammas,16:43,ERROR
Jimmie Turman,16:44,ERROR
Dan Drayton,16:45,ERROR
Rosie Reeves,16:46,ERROR
Jimmie Turman,16:47,ERROR
Vicky Erickson,16:48,ERROR
Rajab Shammas,16:49,ERROR
Francesca Lombardi,16:50,ERROR
Niew Leekpai,16:51,ERROR
Jenny Norgaard,16:52,ERROR
Rodrigo Romani,16:53,ERROR
Nicholas Rose,16:54,ERROR
Jimmie Turman,16:55,ERROR
Dan Drayton,16:56,ERROR
Jenny Norgaard,16:57,ERROR
Rajab Shammas,16:58,ERROR
Jimmie Turman,16:59,ERROR
Dan Drayton,17:00,ERROR
Rosie Reeves,17:01,ERROR
Jimmie Turman,17:02,ERROR
Vicky Erickson,17:03,ERROR
Rajab Shammas,17:04,ERROR
Francesca Lombardi,17:05,ERROR
Niew Leekpai,17:06,ERROR
Jenny Norgaard,17:07,ERROR
Rodrigo Romani,17:08,ERROR
Nicholas Rose,17:09,ERROR
Jimmie Turman,17:10,ERROR
Dan Drayton,17:11,ERROR
Jenny Norgaard,17:12,ERROR
Rajab Shammas,17:13,ERROR
Jimmie Turman,17:14,ERROR
Dan Drayton,17:15,ERROR
Rosie Reeves,17:16,ERROR
Jimmie Turman,17:17,ERROR
Vicky Erickson,17:18,ERROR
Rajab Shammas,17:19,ERROR
Francesca Lombardi,17:20,ERROR
Niew Leekpai,17:21,ERROR
Jenny Norgaard,17:22,ERROR
Rodrigo Romani,17:23,ERROR
Nicholas Rose,17:24,ERROR
Jimmie Turman,17:25,ERROR
Dan Drayton,17:26,ERROR
Jenny Norgaard,17:27,ERROR
Rajab Shammas,17:28,ERROR
Jimmie Turman,17:29,ERROR
Dan Drayton,17:30,ERROR
Rosie Reeves,17:31,ERROR
Jimmie Turman,17:32,ERROR
Vicky Erickson,17:33,ERROR
Rajab Shammas,17:34,ERROR
Francesca Lombardi,17:35,ERROR
Niew Leekpai,17:36,ERROR
Jenny Norgaard,17:37,ERROR
Rodrigo Romani,17:38,ERROR
Nicholas Rose,17:39,ERROR
Jimmie Turman,17:40,ERROR
Dan Drayton,17:41,ERROR
Jenny Norgaard,17:42,ERROR
Rajab Shammas,17:43,ERROR
Jimmie Turman,17:44,ERROR
Dan Drayton,17:45,ERROR
Rosie Reeves,17:46,ERROR
Jimmie Turman,17:47,ERROR
Vicky Erickson,17:48,ERROR
Rajab Shammas,17:49,ERROR
Francesca Lombardi,17:50,ERROR
Niew Leekpai,17:51,ERROR
Jenny Norgaard,17:52,ERROR
Rodrigo Romani,17:53,ERROR
Nicholas Rose,17:54,ERROR
Jimmie Turman,17:55,ERROR
Dan Drayton,17:56,ERROR
Jenny Norgaard,17:57,ERROR
Rajab Shammas,17:58,ERROR
Jimmie Turman,17:59,ERROR
Dan Drayton,18:00,ERROR
Rosie Reeves,18:01,ERROR
Jimmie Turman,18:02,ERROR
Vicky Erickson,18:03,ERROR
Rajab Shammas,18:04,ERROR
Francesca Lombardi,18:05,ERROR
Niew Leekpai,18:06,ERROR
Jenny Norgaard,18:07,ERROR
Rodrigo Romani,18:08,ERROR
Nicholas Rose,18:09,ERROR
Jimmie Turman,18:10,ERROR
Dan Drayton,18:11,ERROR
Jenny Norgaard,18:12,ERROR
Rajab Shammas,18:13,ERROR
Jimmie Turman,18:14,ERROR
Dan Drayton,18:15,ERROR
Rosie Reeves,18:16,ERROR
Jimmie Turman,18:17,ERROR
Vicky Erickson,18:18,ERROR
Rajab Shammas,18:19,ERROR
Francesca Lombardi,18:20,ERROR
Niew Leekpai,18:21,ERROR
Jenny Norgaard,18:22,ERROR
Rodrigo Romani,18:23,ERROR
Nicholas Rose,18:24,ERROR
Jimmie Turman,18:25,ERROR
Dan Drayton,18:26,ERROR
Jenny Norgaard,18:27,ERROR
Rajab Shammas,18:28,ERROR
Jimmie Turman,18:29,ERROR
Dan Drayton,18:30,ERROR
Rosie Reeves,18:31,ERROR
Jimmie Turman,18:32,ERROR
Vicky Erickson,18:33,ERROR
Rajab Shammas,18:34,ERROR
Francesca Lombardi,18:35,ERROR
Niew Leekpai,18:36,ERROR
Jenny Norgaard,18:37,ERROR
Rodrigo Romani,18:38,ERROR
Nicholas Rose,18:39,ERROR
Jimmie Turman,18:40,ERROR
Dan Drayton,18:41,ERROR
Jenny Norgaard,18:42,ERROR
Rajab Shammas,18:43,ERROR
Jimmie Turman,18:44,ERROR
Dan Drayton,18:45,ERROR
Rosie Reeves,18:46,ERROR
Jimmie Turman,18:47,ERROR
Vicky Erickson,18:48,ERROR
Rajab Shammas,18:49,ERROR
Francesca Lombardi,18:50,ERROR
Niew Leekpai,18:51,ERROR
Jenny Norgaard,18:52,ERROR
Rodrigo Romani,18:53,ERROR
Nicholas Rose,18:54,ERROR
Jimmie Turman,18:55,ERROR
Dan Drayton,18:56,ERROR
Jenny Norgaard,18:57,ERROR
Rajab Shammas,18:58,ERROR
Jimmie Turman,18:59,ERROR
Dan Drayton,19:00,ERROR
Rosie Reeves,19:01,ERROR
Jimmie Turman,19:02,ERROR
Vicky Erickson,19:03,ERROR
Rajab Shammas,19:04,ERROR
Francesca Lombardi,19:05,ERROR
Niew Leekpai,19:06,ERROR
Jenny Norgaard,19:07,ERROR
Rodrigo Romani,19:08,ERROR
Nicholas Rose,19:09,ERROR
Jimmie Turman,19:10,ERROR
Dan Drayton,19:11,ERROR
Jenny Norgaard,19:12,ERROR
Rajab Shammas,19:13,ERROR
Jimmie Turman,19:14,ERROR
Dan Drayton,19:15,ERROR
Rosie Reeves,19:16,ERROR
Jimmie Turman,19:17,ERROR
Vicky Erickson,19:18,ERROR
Rajab Shammas,19:19,ERROR
Francesca Lombardi,19:20,ERROR
Niew Leekpai,19:21,ERROR
Jenny Norgaard,19:22,ERROR
Rodrigo Romani,19:23,ERROR
Nicholas Rose,19:24,ERROR
Jimmie Turman,19:25,ERROR
Dan Drayton,19:26,ERROR
Jenny Norgaard,19:27,ERROR
Rajab Shammas,19:28,ERROR
Jimmie Turman,19:29,ERROR
Dan Drayton,19:30,ERROR
Rosie Reeves,19:31,ERROR
Jimmie Turman,19:32,ERROR
Vicky Erickson,19:33,ERROR
Rajab Shammas,19:34,ERROR
Francesca Lombardi,19:35,ERROR
Niew Leekpai,19:36,ERROR
Jenny Norgaard,19:37,ERROR
Rodrigo Romani,19:38,ERROR
Nicholas Rose,19:39,ERROR
Jimmie Turman,19:40,ERROR
Dan Drayton,19:41,ERROR
Jenny Norgaard,19:42,ERROR
Rajab Shammas,19:43,ERROR
Jimmie Turman,19:44,ERROR
Dan Drayton,19:45,ERROR
Rosie Reeves,19:46,ERROR
Jimmie Turman,19:47,ERROR
Vicky Erickson,19:48,ERROR
Rajab Shammas,19:49,ERROR
Francesca Lombardi,19:50,ERROR
Niew Leekpai,19:51,ERROR
Jenny Norgaard,19:52,ERROR
Rodrigo Romani,19:53,ERROR
Nicholas Rose,19:54,ERROR
Jimmie Turman,19:55,ERROR
Dan Drayton,19:56,ERROR
Jenny Norgaard,19:57,ERROR
Rajab Shammas,19:58,ERROR
Jimmie Turman,19:59,ERROR
Dan Drayton,20:00,ERROR
Rosie Reeves,20:01,ERROR
Jimmie Turman,20:02,ERROR
Vicky Erickson,20:03,ERROR
Rajab Shammas,20:04,ERROR
Francesca Lombardi,20:05,ERROR
Niew Leekpai,20:06,ERROR
Jenny Norgaard,20:07,ERROR
Rodrigo Romani,20:08,ERROR
Nicholas Rose,20:09,ERROR
Jimmie Turman,20:10,ERROR
Dan Drayton,20:11,ERROR
Jenny Norgaard,20:12,ERROR
Rajab Shammas,20:13,ERROR
Jimmie Turman,20:14,ERROR
Dan Drayton,20:15,ERROR
Rosie Reeves,20:16,ERROR
Jimmie Turman,20:17,ERROR
Vicky Erickson,20:18,ERROR
Rajab Shammas,20:19,ERROR
Francesca Lombardi,20:20,ERROR
Niew Leekpai,20:21,ERROR
Jenny Norgaard,20:22,ERROR
Rodrigo Romani,20:23,ERROR
Nicholas Rose,20:24,ERROR
Jimmie Turman,20:25,ERROR
Dan Drayton,20:26,ERROR
Jenny Norgaard,20:27,ERROR
Rajab Shammas,20:28,ERROR
Jimmie Turman,20:29,ERROR
Dan Drayton,20:30,ERROR
Rosie Reeves,20:31,ERROR
Jimmie Turman,20:32,ERROR
Vicky Erickson,20:33,ERROR
Rajab Shammas,20:34,ERROR
Francesca Lombardi,20:35,ERROR
Niew Leekpai,20:36,ERROR
Jenny Norgaard,20:37,ERROR
Rodrigo Romani,20:38,ERROR
Nicholas Rose,20:39,ERROR
Jimmie Turman,20:40,ERROR
Dan Drayton,20:41,ERROR
Jenny Norgaard,20:42,ERROR
Rajab Shammas,20:43,ERROR
Jimmie Turman,20:44,ERROR
Dan Drayton,20:45,ERROR
Rosie Reeves,20:46,ERROR
Jimmie Turman,20:47,ERROR
Vicky Erickson,20:48,ERROR
Rajab Shammas,20:49,ERROR
Francesca Lombardi,20:50,ERROR
Niew Leekpai,20:51,ERROR
Jenny Norgaard,20:52,ERROR
Rodrigo Romani,20:53,ERROR
Nicholas Rose,20:54,ERROR
Jimmie Turman,20:55,ERROR
Dan Drayton,20:56,ERROR
Jenny Norgaard,20:57,ERROR
Rajab Shammas,20:58,ERROR
Jimmie Turman,20:59,ERROR
Dan Drayton,21:00,ERROR
Rosie Reeves,21:01,ERROR
Jimmie Turman,21:02,ERROR
Vicky Erickson,21:03,ERROR
Rajab Shammas,21:04,ERROR
Francesca Lombardi,21:05,ERROR
Niew Leekpai,21:06,ERROR
Jenny Norgaard,21:07,ERROR
Rodrigo Romani,21:08,ERROR
Nicholas Rose,21:09,ERROR
Jimmie Turman,21:10,ERROR
Dan Drayton,21:11,ERROR
Jenny Norgaard,21:12,ERROR
Rajab Shammas,21:13,ERROR
Jimmie Turman,21:14,ERROR
Dan Drayton,21:15,ERROR
Rosie Reeves,21:16,ERROR
Jimmie Turman,21:17,ERROR
Vicky Erickson,21:18,ERROR
Rajab Shammas,21:19,ERROR
Francesca Lombardi,21:20,ERROR
Niew Leekpai,21:21,ERROR
Jenny Norgaard,21:22,ERROR
Rodrigo Romani,21:23,ERROR
Nicholas Rose,21:24,ERROR
Jimmie Turman,21:25,ERROR
Dan Drayton,21:26,ERROR
Jenny Norgaard,21:27,ERROR
Rajab Shammas,21:28,ERROR
Jimmie Turman,21:29,ERROR
Dan Drayton,21:30,ERROR
Rosie Reeves,21:31,ERROR
Jimmie Turman,21:32,ERROR
Vicky Erickson,21:33,ERROR
Rajab Shammas,21:34,ERROR
Francesca Lombardi,21:35,ERROR
Niew Leekpai,21:36,ERROR
Jenny Norgaard,21:37,ERROR
Rodrigo Romani,21:38,ERROR
Nicholas Rose,21:39,ERROR
Jimmie Turman,21:40,ERROR
Dan Drayton,21:41,ERROR
Jenny Norgaard,21:42,ERROR
Rajab Shammas,21:43,ERROR
Jimmie Turman,21:44,ERROR
Dan Drayton,21:45,ERROR
Rosie Reeves,21:46,ERROR
Jimmie Turman,21:47,ERROR
Vicky Erickson,21:48,ERROR
Rajab Shammas,21:49,ERROR
Francesca Lombardi,21:50,ERROR
Niew Leekpai,21:51,ERROR
Jenny Norgaard,21:52,ERROR
Rodrigo Romani,21:53,ERROR
Nicholas Rose,21:54,ERROR
Jimmie Turman,21:55,ERROR
Dan Drayton,21:56,ERROR
Jenny Norgaard,21:57,ERROR
Rajab Shammas,21:58,ERROR
Jimmie Turman,21:59,ERROR
Dan Drayton,22:00,ERROR
Rosie Reeves,22:01,ERROR
Jimmie Turman,22:02,ERROR
Vicky Erickson,22:03,ERROR
Rajab Shammas,22:04,ERROR
Francesca Lombardi,22:05,ERROR
Niew Leekpai,22:06,ERROR
Jenny Norgaard,22:07,ERROR
Rodrigo Romani,22:08,ERROR
Nicholas Rose,22:09,ERROR
Jimmie Turman,22:10,ERROR
Dan Drayton,22:11,ERROR
Jenny Norgaard,22:12,ERROR
Rajab Shammas,22:13,ERROR
Jimmie Turman,22:14,ERROR
Dan Drayton,22:15,ERROR
Rosie Reeves,22:16,ERROR
Jimmie Turman,22:17,ERROR
Vicky Erickson,22:18,ERROR
Rajab Shammas,22:19,ERROR
Francesca Lombardi,22:20,ERROR
Niew Leekpai,22:21,ERROR
Jenny Norgaard,22:22,ERROR
Rodrigo Romani,22:23,ERROR
Nicholas Rose,22:24,ERROR
Jimmie Turman,22:25,ERROR
Dan Drayton,22:26,ERROR
Jenny Norgaard,22:27,ERROR
Rajab Shammas,22:28,ERROR
Jimmie Turman,22:29,ERROR
Dan Drayton,22:30,ERROR
Rosie Reeves,22:31,ERROR
Jimmie Turman,22:32,ERROR
Vicky Erickson,22:33,ERROR
Rajab Shammas,22:34,ERROR
Francesca Lombardi,22:35,ERROR
Niew Leekpai,22:36,ERROR
Jenny Norgaard,22:37,ERROR
Rodrigo Romani,22:38,ERROR
Nicholas Rose,22:39,ERROR
Jimmie Turman,22:40,ERROR
Dan Drayton,22:41,ERROR
Jenny Norgaard,22:42,ERROR
Rajab Shammas,22:43,ERROR
Jimmie Turman,22:44,ERROR
Dan Drayton,22:45,ERROR
Rosie Reeves,22:46,ERROR
Jimmie Turman,22:47,ERROR
Vicky Erickson,22:48,ERROR
Rajab Shammas,22:49,ERROR
Francesca Lombardi,22:50,ERROR
Niew Leekpai,22:51,ERROR
Jenny Norgaard,22:52,ERROR
Rodrigo Romani,22:53,ERROR
Nicholas Rose,22:54,ERROR
Jimmie Turman,22:55,ERROR
Dan Drayton,22:56,ERROR
Jenny Norgaard,22:57,ERROR
Rajab Shammas,22:58,ERROR
Jimmie Turman,22:59,ERROR
Dan Drayton,23:00,ERROR
Rosie Reeves,23:01,ERROR
Jimmie Turman,23:02,ERROR
Vicky Erickson,23:03,ERROR
Rajab Shammas,23:04,ERROR
Francesca Lombardi,23:05,ERROR
Niew Leekpai,23:06,ERROR
Jenny Norgaard,23:07,ERROR
Rodrigo Romani,23:08,ERROR
Nicholas Rose,23:09,ERROR
Jimmie Turman,23:10,ERROR
Dan Drayton,23:11,ERROR
Jenny Norgaard,23:12,ERROR
Rajab Shammas,23:13,ERROR
Jimmie Turman,23:14,ERROR
Dan Drayton,23:15,ERROR
Rosie Reeves,23:16,ERROR
Jimmie Turman,23:17,ERROR
Vicky Erickson,23:18,ERROR
Rajab Shammas,23:19,ERROR
Francesca Lombardi,23:20,ERROR
Niew Leekpai,23:21,ERROR
Jenny Norgaard,23:22,ERROR
Rodrigo Romani,23:23,ERROR
Nicholas Rose,23:24,ERROR
Jimmie Turman,23:25,ERROR
Dan Drayton,23:26,ERROR
Jenny Norgaard,23:27,ERROR
Rajab Shammas,23:28,ERROR
Jimmie Turman,23:29,ERROR
Dan Drayton,23:30,ERROR
Rosie Reeves,23:31,ERROR
Jimmie Turman,23:32,ERROR
Vicky Erickson,23:33,ERROR
Rajab Shammas,23:34,ERROR
Francesca Lombardi,23:35,ERROR
Niew Leekpai,23:36,ERROR
Jenny Norgaard,23:37,ERROR
Rodrigo Romani,23:38,ERROR
Nicholas Rose,23:39,ERROR
Jimmie Turman,23:40,ERROR
Dan Drayton,23:41,ERROR
Jenny Norgaard,23:42,ERROR
Rajab Shammas,23:43,ERROR
Jimmie Turman,23:44,ERROR
Dan Drayton,23:45,ERROR
Rosie Reeves,23:46,ERROR
Jimmie Turman,23:47,ERROR
Vicky Erickson,23:48,ERROR
Rajab Shammas,23:49,ERROR
Francesca Lombardi,23:50,ERROR
Niew Leekpai,23:51,ERROR
Jenny Norgaard,23:52,ERROR
Rodrigo Romani,23:53,ERROR
Nicholas Rose,23:54,ERROR
Jimmie Turman,23:55,ERROR
Dan Drayton,23:56,ERROR
Jenny Norgaard,23:57,ERROR
Rajab Shammas,23:58,ERROR
Jimmie Turman,23:59,ERROR
